session_id,respID,qID,profileID,altID,obsID,choice,time_total,time_cbc_total,screenout,cbc_practice,apple_knowledge_1,apple_knowledge_2,year_of_birth,gender,race,education,income,feedback,time_min_total,time_min_cbc,price,type,freshness
1c7ddd532287aa39cdb62e6825169611,1,1,18,1,1,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,2.5,Honeycrisp,Excellent
1c7ddd532287aa39cdb62e6825169611,1,1,100,2,1,1,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,3.5,Red Delicious,Poor
1c7ddd532287aa39cdb62e6825169611,1,1,70,3,1,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,4,Red Delicious,Average
1c7ddd532287aa39cdb62e6825169611,1,2,12,1,2,1,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,2,Gala,Excellent
1c7ddd532287aa39cdb62e6825169611,1,2,63,2,2,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,3.5,Honeycrisp,Average
1c7ddd532287aa39cdb62e6825169611,1,2,46,3,2,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,2,Fuji,Average
1c7ddd532287aa39cdb62e6825169611,1,3,81,1,3,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,2,Fuji,Poor
1c7ddd532287aa39cdb62e6825169611,1,3,94,2,3,1,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,3,Pink Lady,Poor
1c7ddd532287aa39cdb62e6825169611,1,3,61,3,3,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,3.5,Fuji,Average
1c7ddd532287aa39cdb62e6825169611,1,4,56,1,4,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,3,Fuji,Average
1c7ddd532287aa39cdb62e6825169611,1,4,39,2,4,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,1,Pink Lady,Average
1c7ddd532287aa39cdb62e6825169611,1,4,58,3,4,1,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,3,Honeycrisp,Average
1c7ddd532287aa39cdb62e6825169611,1,5,31,1,5,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,4,Fuji,Excellent
1c7ddd532287aa39cdb62e6825169611,1,5,22,2,5,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,3,Gala,Excellent
1c7ddd532287aa39cdb62e6825169611,1,5,32,3,5,1,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,4,Gala,Excellent
1c7ddd532287aa39cdb62e6825169611,1,6,35,1,6,0,72,17,red,option_2,fuji,gala,2000,female,asian,associate_degree,25k_to_29k,Not bad!,1.2,0.2833333333333333,4,Red Delicious,Excellent
